Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1465635600.0 134.908 NA 110 273 0 NA NA 150 327 0 NA NA 797 10606 965 NA NA 874 10856 1109 NA
1465635600.0 134.909 NA 55 249 0 NA NA 96 302 0 NA NA 255 10155 880 NA NA 338 10454 910 NA
1465635600.0 134.91 NA 56 248 0 NA NA 92 303 0 NA NA 264 8959 929 NA NA 284 9184 1068 NA
1465635600.0 134.911 NA 52 255 0 NA NA 94 303 0 NA NA 263 9606 935 NA NA 296 10078 1077 NA
1465635600.0 134.912 NA 52 247 0 NA NA 91 300 0 NA NA 257 7169 879 NA NA 355 7436 938 NA
1465635600.0 134.99601 NA 47 254 0 NA NA 93 310 0 NA NA 324 16333 916 NA NA 368 16607 1047 NA
1465635600.0 134.99602 NA 56 251 0 NA NA 92 300 0 NA NA 276 8989 887 NA NA 298 9304 1027 NA
1465635600.0 134.99603 NA 57 253 0 NA NA 92 309 0 NA NA 310 13098 911 NA NA 328 13464 1048 NA
1465635600.0 134.99901 NA 56 248 0 NA NA 94 302 0 NA NA 257 9261 898 NA NA 298 9578 1037 NA
1465635600.0 1341.0 NA 186 276 0 NA NA 239 330 0 NA NA 1298 2413 2698 NA NA 1588 2777 2846 NA
1465635600.0 135.1 267 0 129 NA NA 314 0 170 NA NA 1388 630 368 NA NA 1624 747 565 NA NA
1465635600.0 135.11 273 0 120 NA NA 326 0 169 NA NA 2322 638 529 NA NA 2784 645 782 NA NA
1465635600.0 135.12 267 0 118 NA NA 313 0 169 NA NA 1216 582 339 NA NA 1488 588 426 NA NA
1465635600.0 135.13 217 0 NA NA NA 258 0 NA NA NA 1064 566 NA NA NA 1579 683 NA NA NA
1465635600.0 135.2 250 0 125 NA NA 293 0 169 NA NA 943 487 306 NA NA 1235 498 437 NA NA
1465635600.0 135.3 256 0 116 NA NA 293 0 169 NA NA 959 507 318 NA NA 1261 622 530 NA NA
1465635600.0 135.4 262 0 120 NA NA 312 0 169 NA NA 1199 594 333 NA NA 1575 708 519 NA NA
1465635600.0 135.5 261 0 127 NA NA 311 0 170 NA NA 1089 562 329 NA NA 1468 684 470 NA NA
1465635600.0 135.6 262 0 119 NA NA 314 0 169 NA NA 1303 606 378 NA NA 1626 614 588 NA NA
1465635600.0 135.7 265 0 124 NA NA 311 0 169 NA NA 1088 566 334 NA NA 1335 574 553 NA NA
1465635600.0 135.8 98 NA NA NA NA 140 NA NA NA NA 385 NA NA NA NA 584 NA NA NA NA
1465635600.0 135.9 265 0 118 NA NA 311 0 169 NA NA 936 553 305 NA NA 1226 567 452 NA NA
1465635600.0 1353.0 NA 184 276 0 NA NA 238 330 0 NA NA 1105 1758 2584 NA NA 1269 2122 2633 NA
1465635600.0 1356.0 67 183 298 0 122 114 221 335 0 174 8403 1040 1616 2686 364 8534 1170 1863 2717 510
1465635600.0 136.727 NA 227 284 0 NA NA 279 341 0 NA NA 6409 15418 1830 NA NA 6603 15747 1973 NA
1465635600.0 136.728 NA 228 284 0 NA NA 280 341 0 NA NA 6779 16537 1811 NA NA 7033 16835 1940 NA
1465635600.0 1360.0 0 NA NA NA NA 0 NA NA NA NA 10 NA NA NA NA 821 NA NA NA NA
1465635600.0 1361.0 0 NA NA NA NA 0 NA NA NA NA 11 NA NA NA NA 56 NA NA NA NA
1465635600.0 1362.0 0 NA NA NA NA 0 NA NA NA NA 9 NA NA NA NA 148 NA NA NA NA
1465635600.0 1363.0 0 NA NA NA NA 0 NA NA NA NA 10 NA NA NA NA 48 NA NA NA NA
1465635600.0 139901.0 NA 183 275 0 NA NA 233 330 0 NA NA 1018 1648 2687 NA NA 1341 1961 2753 NA
1465635600.0 139902.0 NA 185 279 0 NA NA 236 330 0 NA NA 1160 1828 2594 NA NA 1316 2182 2635 NA
1465635600.0 13992501.0 NA 224 344 0 NA NA 286 421 0 NA NA 5617 7831 2687 NA NA 6831 10534 2819 NA
1465635600.0 13992502.0 NA 216 342 0 NA NA 279 417 0 NA NA 5082 7010 2814 NA NA 7683 9158 3015 NA
1465635600.0 145.0 NA 244 293 0 NA NA 327 500 0 NA NA 5970 6836 423 NA NA 6174 7009 473 NA
1465635600.0 2.0 60 97 153 NA NA 110 152 199 NA NA 10827 705 813 NA NA 10894 882 938 NA NA
1465635600.0 204.0 60 101 248 0 NA 108 164 294 0 NA 9568 1147 1944 1007 NA 9653 1874 2573 1137 NA
1465635600.0 24.0 NA 92 226 0 NA NA 159 272 0 NA NA 4215 4740 1169 NA NA 4367 4964 1208 NA
1465635600.0 25.0 NA 98 243 0 76 NA 158 289 0 102 NA 4456 5575 1143 104 NA 4605 5919 1177 211
1465635600.0 250199.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1465635600.0 250200.0 NA 404 314 0 NA NA 497 444 0 NA NA 22902 5697 2756 NA NA 24398 6073 2895 NA
1465635600.0 250200.1 69 218 212 NA NA 114 272 264 NA NA 8411 2996 3242 NA NA 8520 3393 3541 NA NA
1465635600.0 250202.0 NA 247 305 0 NA NA 296 364 0 NA NA 26994 6474 2697 NA NA 29415 6880 2838 NA
1465635600.0 250203.0 NA 247 313 0 NA NA 297 363 0 NA NA 23304 5937 2869 NA NA 25508 6215 2913 NA
1465635600.0 250204.0 NA 252 305 0 NA NA 299 360 0 NA NA 23884 5433 2815 NA NA 25109 5686 2858 NA
1465635600.0 250205.0 NA 244 308 0 NA NA 299 364 0 NA NA 21205 5236 2788 NA NA 23664 5551 2827 NA
1465635600.0 250206.0 NA 249 311 0 NA NA 303 367 0 NA NA 22520 6892 2800 NA NA 23890 7272 2847 NA
1465635600.0 250207.0 NA 219 307 0 NA NA 295 360 0 NA NA 19426 4866 2641 NA NA 21541 5064 2708 NA
1465635600.0 250399.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1465635600.0 250400.0 275 0 131 NA NA 328 0 169 NA NA 2009 584 497 NA NA 2389 598 628 NA NA
1465635600.0 250402.0 270 0 133 NA NA 332 0 169 NA NA 2478 595 653 NA NA 2915 603 748 NA NA
1465635600.0 250403.0 262 0 117 NA NA 324 0 170 NA NA 1872 566 453 NA NA 2433 679 587 NA NA
1465635600.0 250405.0 263 0 131 NA NA 328 0 170 NA NA 2146 566 557 NA NA 2581 680 688 NA NA
1465635600.0 250406.0 265 0 119 NA NA 323 0 169 NA NA 1376 528 407 NA NA 1783 643 494 NA NA
1465635600.0 250407.0 252 0 124 NA NA 306 0 171 NA NA 1479 474 429 NA NA 1912 482 533 NA NA
1465635600.0 250408.0 266 0 124 NA NA 329 0 170 NA NA 2256 595 550 NA NA 2775 714 807 NA NA
1465635600.0 250409.0 289 0 132 NA NA 340 0 170 NA NA 3796 621 936 NA NA 4134 631 1135 NA NA
1465635600.0 25200.0 NA 213 343 0 NA NA 281 421 0 NA NA 5363 7171 2787 NA NA 8426 9622 2972 NA
1465635600.0 25202.0 NA 218 339 0 NA NA 281 418 0 NA NA 5253 6955 2811 NA NA 8455 9867 2843 NA
1465635600.0 25203.0 NA 221 342 0 NA NA 293 421 0 NA NA 5835 7324 2765 NA NA 10204 10684 2824 NA
1465635600.0 25204.0 NA 222 350 0 NA NA 280 418 0 NA NA 5195 6594 2751 NA NA 8249 9110 2834 NA
1465635600.0 25205.0 NA 224 338 0 NA NA 282 416 0 NA NA 5215 6639 2677 NA NA 8427 9091 2717 NA
1465635600.0 25206.0 NA 213 348 0 NA NA 287 418 0 NA NA 6038 8281 2836 NA NA 9877 10748 2911 NA
1465635600.0 25207.0 NA 217 330 0 NA NA 272 408 0 NA NA 4671 5603 2676 NA NA 7595 8029 2730 NA
1465635600.0 25208.0 NA 225 344 0 NA NA 294 429 0 NA NA 6193 9974 2876 NA NA 11394 14516 2922 NA
1465635600.0 25209.0 NA 216 342 0 NA NA 291 421 0 NA NA 5651 7569 2834 NA NA 9735 11040 2893 NA
1465635600.0 25210.0 0 NA NA NA NA 0 NA NA NA NA 12 NA NA NA NA 430 NA NA NA NA
1465635600.0 25211.0 0 NA NA NA NA 0 NA NA NA NA 11 NA NA NA NA 156 NA NA NA NA
1465635600.0 25212.0 0 NA NA NA NA 0 NA NA NA NA 11 NA NA NA NA 170 NA NA NA NA
1465635600.0 25213.0 0 NA NA NA NA 0 NA NA NA NA 11 NA NA NA NA 52 NA NA NA NA
1465635600.0 25400.0 288 0 119 NA NA 374 0 170 NA NA 7199 706 565 NA NA 10774 717 638 NA NA
1465635600.0 25402.0 289 0 118 NA NA 373 0 170 NA NA 7804 715 626 NA NA 11566 726 784 NA NA
1465635600.0 25403.0 304 0 122 NA NA 369 0 170 NA NA 6693 694 505 NA NA 8310 819 654 NA NA
1465635600.0 25405.0 298 0 120 NA NA 370 0 170 NA NA 6389 685 489 NA NA 8579 702 744 NA NA
