Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1465160400.0 250399.0 128 NA NA NA NA NA NA 312 NA NA NA NA NA NA 881 NA NA NA NA NA NA 5398 NA NA NA NA NA NA
1465160400.0 25200.0 NA 199 314 0 NA NA NA NA 394 553 0 NA NA NA NA 3156 4369 1361 NA NA NA NA 6326 14517 1379 NA NA NA
1465160400.0 25204.0 NA 211 311 0 NA NA NA NA 391 548 0 NA NA NA NA 3177 4241 1313 NA NA NA NA 6499 12336 1343 NA NA NA
1465160400.0 25207.0 NA 202 304 0 NA NA NA NA 387 540 0 NA NA NA NA 2755 3673 1449 NA NA NA NA 5808 12605 1482 NA NA NA
1465160400.0 25400.0 267 0 109 NA NA NA NA 510 0 245 NA NA NA NA 4342 380 906 NA NA NA NA 15561 420 974 NA NA NA NA
1465160400.0 25402.0 266 0 109 NA NA NA NA 508 0 244 NA NA NA NA 4560 378 1063 NA NA NA NA 13971 391 1155 NA NA NA NA
1465160400.0 25403.0 269 0 116 NA NA NA NA 509 0 245 NA NA NA NA 3704 359 742 NA NA NA NA 4483 376 1091 NA NA NA NA
1465160400.0 25407.0 256 0 106 NA NA NA NA 488 0 246 NA NA NA NA 3349 340 914 NA NA NA NA 14583 1465 1247 NA NA NA NA
1465160400.0 25408.0 273 0 109 NA NA NA NA 520 0 244 NA NA NA NA 5944 381 1236 NA NA NA NA 13319 406 1356 NA NA NA NA
1465160400.0 25409.0 265 0 107 NA NA NA NA 509 0 245 NA NA NA NA 4353 362 969 NA NA NA NA 14191 375 1069 NA NA NA NA
1465160400.0 26.0 NA 79 201 0 NA NA NA NA 236 405 0 NA NA NA NA 1897 1422 570 NA NA NA NA 2031 1808 646 NA NA NA
1465160400.0 27.0 NA 81 195 0 NA NA NA NA 236 392 0 NA NA NA NA 1856 1397 605 NA NA NA NA 2158 1521 624 NA NA NA
1465160400.0 3.0 58 74 135 NA NA NA NA 169 231 293 NA NA NA NA 10690 304 2177 NA NA NA NA 11059 626 2395 NA NA NA NA
1465160400.0 30.0 NA 81 193 0 NA NA NA NA 236 392 0 NA NA NA NA 1984 1810 625 NA NA NA NA 2049 2264 704 NA NA NA
1465160400.0 31.0 NA 80 195 0 NA NA NA NA 236 393 0 NA NA NA NA 1899 1329 592 NA NA NA NA 2092 1576 624 NA NA NA
1465160400.0 32.0 NA 81 196 0 NA NA NA NA 236 394 0 NA NA NA NA 1947 1583 590 NA NA NA NA 2089 1653 662 NA NA NA
1465160400.0 35.0 NA 83 192 0 NA NA NA NA 236 393 0 NA NA NA NA 2034 1806 607 NA NA NA NA 2247 2095 724 NA NA NA
1465160400.0 38.0 NA 81 200 0 NA NA NA NA 236 399 0 NA NA NA NA 2097 2536 612 NA NA NA NA 2370 2775 629 NA NA NA
1465160400.0 4.26 NA 52 221 0 NA NA NA NA 159 410 0 NA NA NA NA 92 3170 544 NA NA NA NA 217 3229 577 NA NA NA
