Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1465160400.0 1303.0 106 194 207 NA NA NA NA 167 284 313 NA NA NA NA 19262 1072 2101 NA NA NA NA 6705 773 1735 NA NA NA NA
1465160400.0 1307.0 NA 163 198 52 0 NA NA NA 288 270 86 0 NA NA NA 554 1052 57 469 NA NA NA 519 1057 66 496 NA NA
1465160400.0 1308.0 NA 166 201 52 0 NA NA NA 283 272 86 0 NA NA NA 541 999 69 497 NA NA NA 477 1162 121 533 NA NA
1465160400.0 1309.0 NA 210 452 0 NA NA NA NA 345 568 0 NA NA NA NA 688 2260 1128 NA NA NA NA 595 2103 1149 NA NA NA
1465160400.0 131.0 63 91 355 NA NA NA NA 114 216 437 NA NA NA NA 1658 418 628 NA NA NA NA 785 317 594 NA NA NA NA
1465160400.0 1310.0 NA 194 451 0 NA NA NA NA 325 575 0 NA NA NA NA 698 2435 1118 NA NA NA NA 552 2286 1133 NA NA NA
1465160400.0 1311.0 NA 188 432 0 72 NA NA NA 313 527 0 107 NA NA NA 539 1853 1091 114 NA NA NA 484 1853 1114 170 NA NA
1465160400.0 1312.0 NA 202 443 0 NA NA NA NA 321 579 0 NA NA NA NA 615 2203 1115 NA NA NA NA 486 2066 1126 NA NA NA
1465160400.0 1313.0 NA 191 450 0 NA NA NA NA 341 585 0 NA NA NA NA 604 2646 1118 NA NA NA NA 504 2284 1137 NA NA NA
1465160400.0 1314.0 NA 187 456 0 NA NA NA NA 320 565 0 NA NA NA NA 659 2636 1173 NA NA NA NA 524 2481 1186 NA NA NA
1465160400.0 1316.0 NA 191 435 0 NA NA NA NA 316 564 0 NA NA NA NA 635 2219 1276 NA NA NA NA 525 2167 1294 NA NA NA
1465160400.0 1318.0 NA 184 440 0 NA NA NA NA 319 553 0 NA NA NA NA 615 1973 1186 NA NA NA NA 520 1971 1214 NA NA NA
1465160400.0 1319.0 NA 188 441 0 NA NA NA NA 313 542 0 NA NA NA NA 603 2591 1172 NA NA NA NA 734 2634 1207 NA NA NA
1465160400.0 1320.0 NA 197 438 0 NA NA NA NA 308 558 0 NA NA NA NA 583 2377 1133 NA NA NA NA 511 2328 1145 NA NA NA
1465160400.0 1321.0 NA 191 433 0 NA NA NA NA 321 572 0 NA NA NA NA 587 2182 1105 NA NA NA NA 508 2127 1123 NA NA NA
1465160400.0 1322.0 NA 188 438 0 NA NA NA NA 330 552 0 NA NA NA NA 670 2512 1215 NA NA NA NA 528 2402 1237 NA NA NA
1465160400.0 1323.0 NA 175 423 0 NA NA NA NA 326 539 0 NA NA NA NA 539 2343 1137 NA NA NA NA 473 2343 1149 NA NA NA
1465160400.0 1324.0 NA 197 448 0 NA NA NA NA 331 576 0 NA NA NA NA 703 2169 1204 NA NA NA NA 567 2015 1238 NA NA NA
1465160400.0 1325.0 NA 198 456 0 79 NA NA NA 335 582 0 115 NA NA NA 721 2293 1108 167 NA NA NA 578 2091 1120 238 NA NA
1465160400.0 1325.1 NA 210 228 0 NA NA NA NA 310 301 0 NA NA NA NA 1080 803 323 NA NA NA NA 767 690 332 NA NA NA
1465160400.0 1325.3 NA 208 208 0 NA NA NA NA 314 281 0 NA NA NA NA 708 495 251 NA NA NA NA 595 474 258 NA NA NA
1465160400.0 1326.0 NA 200 441 0 NA NA NA NA 326 568 0 NA NA NA NA 641 2511 1148 NA NA NA NA 729 2434 1172 NA NA NA
1465160400.0 1328.0 NA 208 450 0 NA NA NA NA 323 576 0 NA NA NA NA 649 2364 1275 NA NA NA NA 508 2234 1313 NA NA NA
1465160400.0 1329.0 NA 205 447 0 NA NA NA NA 318 559 0 NA NA NA NA 631 2506 1261 NA NA NA NA 515 2461 1288 NA NA NA
1465160400.0 1330.0 NA 199 438 0 NA NA NA NA 322 561 0 NA NA NA NA 639 2535 1205 NA NA NA NA 496 2841 1234 NA NA NA
1465160400.0 1331.0 NA 199 444 0 NA NA NA NA 326 562 0 NA NA NA NA 592 2444 1104 NA NA NA NA 729 2384 1116 NA NA NA
1465160400.0 1332.0 NA 213 450 0 NA NA NA NA 315 568 0 NA NA NA NA 688 2614 1243 NA NA NA NA 540 2433 1266 NA NA NA
1465160400.0 1333.0 NA 198 447 0 NA NA NA NA 319 562 0 NA NA NA NA 622 2193 1179 NA NA NA NA 498 2126 1189 NA NA NA
1465160400.0 1334.0 NA 202 448 0 NA NA NA NA 310 563 0 NA NA NA NA 663 2134 1185 NA NA NA NA 543 2076 1196 NA NA NA
1465160400.0 1335.0 NA 200 435 0 NA NA NA NA 322 555 0 NA NA NA NA 633 2148 1085 NA NA NA NA 546 2073 1098 NA NA NA
1465160400.0 1337.0 NA 230 473 0 NA NA NA NA 342 581 0 NA NA NA NA 1033 2716 1347 NA NA NA NA 623 2230 1368 NA NA NA
1465160400.0 1339.0 NA 215 459 0 NA NA NA NA 346 586 0 NA NA NA NA 1027 3134 1211 NA NA NA NA 640 2606 1233 NA NA NA
1465160400.0 134.0 NA 346 39 0 NA NA NA NA 450 75 0 NA NA NA NA 3081 6 8 NA NA NA NA 1574 82 146 NA NA NA
1465160400.0 134.806 NA 40 390 0 NA NA NA NA 94 519 0 NA NA NA NA 203 9299 383 NA NA NA NA 202 3551 394 NA NA NA
1465160400.0 134.807 NA 92 404 0 NA NA NA NA 160 527 0 NA NA NA NA 826 9468 415 NA NA NA NA 1393 4119 448 NA NA NA
1465160400.0 134.808 NA 86 401 0 NA NA NA NA 160 526 0 NA NA NA NA 694 10229 465 NA NA NA NA 1359 3902 478 NA NA NA
1465160400.0 134.901 NA 192 392 0 NA NA NA NA 264 490 0 NA NA NA NA 2171 6662 399 NA NA NA NA 1245 3611 423 NA NA NA
1465160400.0 134.902 NA 196 392 0 NA NA NA NA 268 501 0 NA NA NA NA 2538 7812 430 NA NA NA NA 1808 3808 443 NA NA NA
1465160400.0 134.903 NA 191 391 0 NA NA NA NA 268 509 0 NA NA NA NA 2210 7417 414 NA NA NA NA 858 3629 424 NA NA NA
1465160400.0 134.905 NA 189 393 0 NA NA NA NA 272 512 0 NA NA NA NA 2249 6933 428 NA NA NA NA 946 3635 469 NA NA NA
1465160400.0 134.906 NA 189 399 0 NA NA NA NA 275 512 0 NA NA NA NA 2653 8571 459 NA NA NA NA 1325 4158 469 NA NA NA
1465160400.0 134.907 NA 219 411 0 NA NA NA NA 310 530 0 NA NA NA NA 3101 8197 460 NA NA NA NA 1734 4005 470 NA NA NA
1465160400.0 134.908 NA 227 422 0 NA NA NA NA 316 534 0 NA NA NA NA 4158 12333 680 NA NA NA NA 8556 5739 795 NA NA NA
1465160400.0 134.909 NA 186 391 0 NA NA NA NA 276 497 0 NA NA NA NA 2201 6922 436 NA NA NA NA 852 3426 446 NA NA NA
1465160400.0 134.91 NA 179 388 0 NA NA NA NA 268 489 0 NA NA NA NA 1933 6712 457 NA NA NA NA 837 3389 466 NA NA NA
1465160400.0 134.911 NA 187 394 0 NA NA NA NA 276 497 0 NA NA NA NA 2445 6948 415 NA NA NA NA 962 3505 425 NA NA NA
1465160400.0 1340.0 NA 194 436 0 NA NA NA NA 329 567 0 NA NA NA NA 593 2073 1105 NA NA NA NA 501 2030 1119 NA NA NA
1465160400.0 1341.0 NA 215 462 0 NA NA NA NA 353 580 0 NA NA NA NA 936 2666 1221 NA NA NA NA 611 2256 1234 NA NA NA
1465160400.0 1343.0 NA 206 447 0 NA NA NA NA 348 584 0 NA NA NA NA 674 2647 1274 NA NA NA NA 529 2465 1300 NA NA NA
1465160400.0 1344.0 NA 191 451 0 NA NA NA NA 331 576 0 NA NA NA NA 636 2614 1203 NA NA NA NA 497 2460 1218 NA NA NA
1465160400.0 1345.0 NA 198 469 0 NA NA NA NA 345 568 0 NA NA NA NA 706 2745 1203 NA NA NA NA 817 2627 1225 NA NA NA
1465160400.0 1347.0 NA 188 448 0 NA NA NA NA 337 552 0 NA NA NA NA 643 2279 1187 NA NA NA NA 543 2179 1222 NA NA NA
1465160400.0 1348.0 NA 201 435 0 NA NA NA NA 295 566 0 NA NA NA NA 606 2487 1212 NA NA NA NA 492 2843 1250 NA NA NA
1465160400.0 135.1 412 0 109 NA NA NA NA 532 0 202 NA NA NA NA 1476 257 340 NA NA NA NA 962 267 372 NA NA NA NA
1465160400.0 135.11 431 0 127 NA NA NA NA 551 0 206 NA NA NA NA 1982 262 371 NA NA NA NA 1159 281 336 NA NA NA NA
1465160400.0 135.12 402 0 116 NA NA NA NA 518 0 195 NA NA NA NA 1231 278 325 NA NA NA NA 864 289 363 NA NA NA NA
1465160400.0 135.13 357 0 NA NA NA NA NA 481 0 NA NA NA NA NA 1525 324 NA NA NA NA NA 1409 332 NA NA NA NA NA
1465160400.0 135.2 360 0 106 NA NA NA NA 451 0 193 NA NA NA NA 854 228 595 NA NA NA NA 863 238 651 NA NA NA NA
1465160400.0 135.3 355 0 109 NA NA NA NA 461 0 187 NA NA NA NA 938 218 238 NA NA NA NA 1217 237 292 NA NA NA NA
1465160400.0 135.4 390 0 112 NA NA NA NA 524 0 201 NA NA NA NA 1463 276 278 NA NA NA NA 1071 343 322 NA NA NA NA
1465160400.0 135.5 403 0 112 NA NA NA NA 516 0 196 NA NA NA NA 1321 248 341 NA NA NA NA 944 297 721 NA NA NA NA
1465160400.0 135.6 405 0 107 NA NA NA NA 523 0 203 NA NA NA NA 1147 242 319 NA NA NA NA 816 254 350 NA NA NA NA
1465160400.0 135.7 408 0 115 NA NA NA NA 524 0 196 NA NA NA NA 1191 262 320 NA NA NA NA 824 272 378 NA NA NA NA
1465160400.0 135.8 155 NA NA NA NA NA NA 249 NA NA NA NA NA NA 529 NA NA NA NA NA NA 791 NA NA NA NA NA NA
1465160400.0 135.9 373 0 107 NA NA NA NA 503 0 183 NA NA NA NA 1169 231 608 NA NA NA NA 1262 241 671 NA NA NA NA
1465160400.0 1350.0 NA 203 444 0 NA NA NA NA 334 556 0 NA NA NA NA 627 2127 1151 NA NA NA NA 486 2031 1166 NA NA NA
1465160400.0 1352.0 NA 192 443 0 NA NA NA NA 337 569 0 NA NA NA NA 677 2142 1200 NA NA NA NA 562 2077 1214 NA NA NA
1465160400.0 1353.0 NA 205 454 0 NA NA NA NA 329 569 0 NA NA NA NA 730 2313 1246 NA NA NA NA 542 2147 1356 NA NA NA
1465160400.0 1354.0 NA 197 441 0 NA NA NA NA 347 565 0 NA NA NA NA 645 2359 1168 NA NA NA NA 489 2233 1198 NA NA NA
1465160400.0 1355.0 NA 203 458 0 NA NA NA NA 350 568 0 NA NA NA NA 709 2415 1239 NA NA NA NA 556 2252 1256 NA NA NA
1465160400.0 1356.0 101 199 460 0 121 NA NA 171 322 587 0 206 NA NA 10896 979 4075 1710 702 NA NA 4117 732 3817 1762 725 NA NA
1465160400.0 1360.0 95 199 464 0 NA NA NA 232 293 548 0 NA NA NA 6913 967 2898 1711 NA NA NA 5598 1131 2813 1724 NA NA NA
1465160400.0 1361.0 101 202 462 0 NA NA NA 228 327 555 0 NA NA NA 9670 1014 3013 1651 NA NA NA 6138 729 2878 1664 NA NA NA
1465160400.0 1362.0 94 199 444 0 NA NA NA 217 311 563 0 NA NA NA 7262 937 3092 1631 NA NA NA 6312 714 2949 1648 NA NA NA
1465160400.0 1363.0 102 193 451 0 NA NA NA 220 333 569 0 NA NA NA 9951 1039 3092 1698 NA NA NA 7187 744 2894 1708 NA NA NA
1465160400.0 139901.0 NA 200 442 0 NA NA NA NA 328 566 0 NA NA NA NA 693 2405 1262 NA NA NA NA 588 2299 1280 NA NA NA
1465160400.0 139902.0 NA 209 459 0 NA NA NA NA 348 570 0 NA NA NA NA 786 2916 1254 NA NA NA NA 593 2764 1276 NA NA NA
1465160400.0 13992501.0 NA 302 685 0 NA NA NA NA 438 853 0 NA NA NA NA 5812 9583 1781 NA NA NA NA 2920 6429 1826 NA NA NA
1465160400.0 13992502.0 NA 300 651 0 NA NA NA NA 449 845 0 NA NA NA NA 5217 8286 1762 NA NA NA NA 2790 5731 1778 NA NA NA
1465160400.0 14.0 NA 97 372 0 NA NA NA NA 219 469 0 NA NA NA NA 1944 2052 466 NA NA NA NA 726 1084 483 NA NA NA
1465160400.0 140.1 NA 166 394 0 NA NA NA NA 270 476 0 NA NA NA NA 376 724 152 NA NA NA NA 450 785 166 NA NA NA
1465160400.0 140.2 NA 166 395 0 NA NA NA NA 276 469 0 NA NA NA NA 373 745 155 NA NA NA NA 717 811 167 NA NA NA
1465160400.0 140.4 NA 168 404 0 NA NA NA NA 275 478 0 NA NA NA NA 400 846 174 NA NA NA NA 828 1238 185 NA NA NA
1465160400.0 140.51 NA 43 356 0 NA NA NA NA 84 451 0 NA NA NA NA 688 1467 176 NA NA NA NA 1668 823 187 NA NA NA
1465160400.0 140.52 NA 384 359 0 NA NA NA NA 496 445 0 NA NA NA NA 1979 1644 173 NA NA NA NA 966 954 189 NA NA NA
1465160400.0 140.53 NA 453 0 NA NA NA NA NA 811 0 NA NA NA NA NA 4512 202 NA NA NA NA NA 1721 211 NA NA NA NA
1465160400.0 144.6 NA 351 NA NA NA NA NA NA 439 NA NA NA NA NA NA 2355 NA NA NA NA NA NA 1508 NA NA NA NA NA
1465160400.0 145.0 NA 256 489 0 NA NA NA NA 333 709 0 NA NA NA NA 2939 3649 193 NA NA NA NA 3098 3789 213 NA NA NA
1465160400.0 15.0 NA 100 361 0 NA NA NA NA 217 439 0 NA NA NA NA 1797 1175 413 NA NA NA NA 682 802 435 NA NA NA
1465160400.0 16.0 NA 96 369 0 NA NA NA NA 209 452 0 NA NA NA NA 1800 1425 381 NA NA NA NA 753 880 405 NA NA NA
1465160400.0 17.0 NA 90 360 0 NA NA NA NA 223 456 0 NA NA NA NA 1695 1155 395 NA NA NA NA 636 753 408 NA NA NA
1465160400.0 18.0 NA 99 360 0 NA NA NA NA 213 449 0 NA NA NA NA 1759 1027 430 NA NA NA NA 721 743 452 NA NA NA
1465160400.0 19.0 NA 92 363 0 NA NA NA NA 218 454 0 NA NA NA NA 1712 1120 384 NA NA NA NA 639 760 414 NA NA NA
1465160400.0 2.0 89 81 162 NA NA NA NA 162 199 243 NA NA NA NA 7663 414 1440 NA NA NA NA 2583 289 1291 NA NA NA NA
1465160400.0 200.0 NA 120 405 0 NA NA NA NA 239 509 0 NA NA NA NA 731 1344 454 NA NA NA NA 749 1292 468 NA NA NA
1465160400.0 202.0 NA 117 407 0 NA NA NA NA 241 511 0 NA NA NA NA 867 1588 460 NA NA NA NA 669 1160 479 NA NA NA
1465160400.0 203.0 NA 123 416 0 NA NA NA NA 254 517 0 NA NA NA NA 962 1514 426 NA NA NA NA 774 1152 437 NA NA NA
1465160400.0 204.0 90 128 413 0 NA NA NA 162 227 505 0 NA NA NA 6597 838 1620 454 NA NA NA 2301 661 1474 468 NA NA NA
1465160400.0 205.0 NA 114 412 0 NA NA NA NA 252 509 0 NA NA NA NA 1037 1315 419 NA NA NA NA 928 1201 432 NA NA NA
1465160400.0 21.0 NA 95 364 0 NA NA NA NA 227 451 0 NA NA NA NA 1788 1629 419 NA NA NA NA 712 871 436 NA NA NA
1465160400.0 22.0 NA 102 365 0 NA NA NA NA 202 453 0 NA NA NA NA 1826 2137 421 NA NA NA NA 762 1005 433 NA NA NA
1465160400.0 23.0 NA 106 369 0 NA NA NA NA 220 457 0 NA NA NA NA 2053 2197 491 NA NA NA NA 806 1092 509 NA NA NA
1465160400.0 24.0 NA 106 376 0 NA NA NA NA 221 463 0 NA NA NA NA 2160 2679 487 NA NA NA NA 817 1129 502 NA NA NA
1465160400.0 250199.0 234 NA NA NA NA NA NA 363 NA NA NA NA NA NA 3450 NA NA NA NA NA NA 3384 NA NA NA NA NA NA
1465160400.0 250200.0 NA 366 527 0 NA NA NA NA 540 666 0 NA NA NA NA 20738 6821 1727 NA NA NA NA 8727 4336 1737 NA NA NA
1465160400.0 250200.1 102 339 244 NA NA NA NA 168 441 351 NA NA NA NA 9270 1678 2967 NA NA NA NA 3047 992 2128 NA NA NA NA
1465160400.0 250202.0 NA 381 538 0 NA NA NA NA 535 674 0 NA NA NA NA 23073 7418 1770 NA NA NA NA 8770 4710 1782 NA NA NA
1465160400.0 250203.0 NA 364 534 0 NA NA NA NA 528 644 0 NA NA NA NA 21975 6982 1737 NA NA NA NA 9051 4463 1770 NA NA NA
1465160400.0 250204.0 NA 362 524 0 NA NA NA NA 521 646 0 NA NA NA NA 21787 6241 1758 NA NA NA NA 8793 4416 1776 NA NA NA
1465160400.0 250205.0 NA 369 543 0 NA NA NA NA 518 652 0 NA NA NA NA 19731 6419 1742 NA NA NA NA 8410 4014 1758 NA NA NA
1465160400.0 250206.0 NA 372 512 0 NA NA NA NA 540 682 0 NA NA NA NA 21678 8071 1753 NA NA NA NA 8693 8960 1768 NA NA NA
1465160400.0 250207.0 NA 351 529 0 NA NA NA NA 525 652 0 NA NA NA NA 17648 6172 1706 NA NA NA NA 7921 5106 1716 NA NA NA
1465160400.0 250399.0 228 NA NA NA NA NA NA 347 NA NA NA NA NA NA 1938 NA NA NA NA NA NA 1859 NA NA NA NA NA NA
1465160400.0 250400.0 426 0 116 NA NA NA NA 563 0 204 NA NA NA NA 1821 237 672 NA NA NA NA 1084 246 649 NA NA NA NA
